GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US91901,91901,ZCTA5 91901,18586,881
8600000US91902,91902,ZCTA5 91902,19429,1116
8600000US91905,91905,ZCTA5 91905,1539,569
8600000US91906,91906,ZCTA5 91906,3565,535
8600000US91910,91910,ZCTA5 91910,76027,1940
8600000US91911,91911,ZCTA5 91911,84241,2003
8600000US91913,91913,ZCTA5 91913,47494,2407
8600000US91914,91914,ZCTA5 91914,16865,983
8600000US91915,91915,ZCTA5 91915,30679,1385
8600000US91916,91916,ZCTA5 91916,1542,281
8600000US91917,91917,ZCTA5 91917,937,443
8600000US91931,91931,ZCTA5 91931,474,241
8600000US91932,91932,ZCTA5 91932,26801,197
8600000US91934,91934,ZCTA5 91934,274,183
8600000US91935,91935,ZCTA5 91935,8347,739
8600000US91941,91941,ZCTA5 91941,33077,1045
8600000US91942,91942,ZCTA5 91942,39795,716
8600000US91945,91945,ZCTA5 91945,26673,228
8600000US91948,91948,ZCTA5 91948,13,20
8600000US91950,91950,ZCTA5 91950,62078,430
8600000US91962,91962,ZCTA5 91962,2190,425
8600000US91963,91963,ZCTA5 91963,988,314
8600000US91977,91977,ZCTA5 91977,62065,1690
8600000US91978,91978,ZCTA5 91978,9804,706
8600000US91980,91980,ZCTA5 91980,595,832
8600000US92003,92003,ZCTA5 92003,4905,745
8600000US92004,92004,ZCTA5 92004,2520,768
8600000US92007,92007,ZCTA5 92007,11929,767
8600000US92008,92008,ZCTA5 92008,26968,1203
8600000US92009,92009,ZCTA5 92009,44330,1013
8600000US92010,92010,ZCTA5 92010,15551,976
8600000US92011,92011,ZCTA5 92011,24899,953
8600000US92014,92014,ZCTA5 92014,13665,509
8600000US92019,92019,ZCTA5 92019,43200,1541
8600000US92020,92020,ZCTA5 92020,58554,1505
8600000US92021,92021,ZCTA5 92021,69552,1826
8600000US92024,92024,ZCTA5 92024,50246,768
8600000US92025,92025,ZCTA5 92025,53742,1389
8600000US92026,92026,ZCTA5 92026,49327,1719
8600000US92027,92027,ZCTA5 92027,56899,1404
8600000US92028,92028,ZCTA5 92028,48468,1635
8600000US92029,92029,ZCTA5 92029,18758,792
8600000US92036,92036,ZCTA5 92036,2700,491
8600000US92037,92037,ZCTA5 92037,38659,1131
8600000US92040,92040,ZCTA5 92040,43191,1557
8600000US92054,92054,ZCTA5 92054,42523,1808
8600000US92055,92055,ZCTA5 92055,12926,1520
8600000US92056,92056,ZCTA5 92056,53920,1582
8600000US92057,92057,ZCTA5 92057,57125,1856
8600000US92058,92058,ZCTA5 92058,46463,2440
8600000US92059,92059,ZCTA5 92059,1177,210
8600000US92060,92060,ZCTA5 92060,79,50
8600000US92061,92061,ZCTA5 92061,2046,680
8600000US92064,92064,ZCTA5 92064,49763,108
8600000US92065,92065,ZCTA5 92065,37633,1307
8600000US92066,92066,ZCTA5 92066,530,249
8600000US92067,92067,ZCTA5 92067,9127,921
8600000US92069,92069,ZCTA5 92069,48682,1406
8600000US92070,92070,ZCTA5 92070,1034,311
8600000US92071,92071,ZCTA5 92071,56682,129
8600000US92075,92075,ZCTA5 92075,12548,220
8600000US92078,92078,ZCTA5 92078,48009,1480
8600000US92081,92081,ZCTA5 92081,28976,1249
8600000US92082,92082,ZCTA5 92082,18722,1662
8600000US92083,92083,ZCTA5 92083,37367,1358
8600000US92084,92084,ZCTA5 92084,50915,1734
8600000US92086,92086,ZCTA5 92086,1672,249
8600000US92091,92091,ZCTA5 92091,1473,307
8600000US92101,92101,ZCTA5 92101,36857,1710
8600000US92102,92102,ZCTA5 92102,44778,1603
8600000US92103,92103,ZCTA5 92103,33873,1160
8600000US92104,92104,ZCTA5 92104,45788,1942
8600000US92105,92105,ZCTA5 92105,72724,1993
8600000US92106,92106,ZCTA5 92106,18864,1060
8600000US92107,92107,ZCTA5 92107,29292,1019
8600000US92108,92108,ZCTA5 92108,20899,1122
8600000US92109,92109,ZCTA5 92109,48430,1858
8600000US92110,92110,ZCTA5 92110,28508,1044
8600000US92111,92111,ZCTA5 92111,48380,1281
8600000US92113,92113,ZCTA5 92113,57887,1917
8600000US92114,92114,ZCTA5 92114,69688,1441
8600000US92115,92115,ZCTA5 92115,64410,1895
8600000US92116,92116,ZCTA5 92116,32920,1128
8600000US92117,92117,ZCTA5 92117,54489,1242
8600000US92118,92118,ZCTA5 92118,23473,265
8600000US92119,92119,ZCTA5 92119,23456,671
8600000US92120,92120,ZCTA5 92120,28518,1211
8600000US92121,92121,ZCTA5 92121,4588,393
8600000US92122,92122,ZCTA5 92122,47314,1334
8600000US92123,92123,ZCTA5 92123,30202,1292
8600000US92124,92124,ZCTA5 92124,31061,1103
8600000US92126,92126,ZCTA5 92126,80685,1943
8600000US92127,92127,ZCTA5 92127,43588,1442
8600000US92128,92128,ZCTA5 92128,49522,1060
8600000US92129,92129,ZCTA5 92129,55780,1420
8600000US92130,92130,ZCTA5 92130,51757,1600
8600000US92131,92131,ZCTA5 92131,34425,1035
8600000US92132,92132,ZCTA5 92132,0,12
8600000US92134,92134,ZCTA5 92134,216,121
8600000US92135,92135,ZCTA5 92135,851,147
8600000US92139,92139,ZCTA5 92139,36720,1176
8600000US92140,92140,ZCTA5 92140,3112,589
8600000US92145,92145,ZCTA5 92145,2096,400
8600000US92147,92147,ZCTA5 92147,569,209
8600000US92154,92154,ZCTA5 92154,88016,1939
8600000US92155,92155,ZCTA5 92155,528,199
8600000US92173,92173,ZCTA5 92173,32416,1226
8600000US92672,92672,ZCTA5 92672,34605,932
